Año;Región;Ciudad;Resolución;Tipo de Infracción;Monto Original;Costo Monetario;Estado Actual;Responsable
2012;VII;CAÑETE;1129/12/11-1;IMPLEMENTAR JORNADAS DE TRABAJO DE HASTA DOS SEMANAS ININTERRUMPIDAS SIN QUE LA JORNADA SE GENERE EN LUGARES APARTADOS DE CENTROS URBANOS;60,00 UTM;2.381.340;PAGADA;RRHH
2013;V;SAN FELIPE;3095/13/2-1;NO OTORGAR TRABAJO CONVENIDO;60,00 UTM;2.426.820;PAGADA;RRHH
2013;V;SAN FELIPE;1268/13/22-1;NO MANTENER EN FAENA SUMINISTROS DE 100 LITROS DE AGUA ;60,00 UTM;2.443.860;PAGADA;PREVENCION
2013;V;;1268/13/22-2;NO CONTAR CON CASILLEROS EN NUMERO IGUAL A LOS TRABAJADORES;60,00 UTM;2.443.860;PAGADA;PREVENCION
2013;V;;1268/13/22-3;NO CONTAR  CON SERVICIOS HIGENICOS CON UN MINIMO DE DUCHAS;40,00 UTM;1.629.240;PAGADA;PREVENCION
2013;IV;COQUIMBO;4529/13/13-1;NO REGISTRAR CONTRATO DE TRABAJO DE MENOR DE EDAD EN INSPECCION;60,00 UTM;2.407.500;PAGADA;RRHH
2013;IV;;4529/13/13-2;CONTRATAR MENOR DE EDAD SIN HABER CULMINADO SUS ESTUDIOS;60,00 UTM;0;DEJA SIN EFECTO;RRHH
2013;IV;;4529/13/13-3;distribuir jornada en menos de 5 dias habiles de la trabajadora;60,00 UTM;1.685.520;PAGADA;RRHH
2013;V;QUILPUE;7971/13/60-1;NO OTORGAR A LOS TRABAJADORES LOS DESCANSOS ESTABLECIDOS EN CONTRATO DE TRABAJO;40,00 UTM;801.700;PAGADA;RRHH
2013;V;;7971/13/60-2;NO ESTAR REGISTRADAS LAS HORAS DE ENTRADA Y SALIDA DE JOSE ALFARO ROMERO LOS DIAS 26,27 Y 28 DE ABRIL;60,00 UTM;1.202.550;;RRHH
2013;V;SAN FELIPE;8336/2013/42-1;NO REALIZAR REUNION COMITÉ PARITARIO (JUNIO 2013);30,00 UTM;1.215.840;PAGADA;PREVENCION
2013;V;;8336/2013/42-2;NO PROVEER AGUA POTABLE EN RECIPIENTE PORTATIL EN LUGAR DE FAENA;30,00 UTM;607.920;PAGADA;PREVENCION
